epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,297.525,1.6064,0.46141,0.95639,1.40481,0.0670735,0.000332591,0.000332591
2,582,1.40978,0.51435,0.97242,1.28871,0.0339416,0.000534071,0.000534071
3,1562.93,1.3235,0.55475,0.97785,1.17412,0.000677791,0.000603552,0.000603552
4,1758.49,1.26755,0.54737,0.97618,1.17153,0.000406,0.000406,0.000406
5,1949.88,1.21073,0.58442,0.98022,1.0945,0.000208,0.000208,0.000208
